Designator,Mid X,Mid Y,Layer,Rotation
C1,70.77,-81.85,Top,0.0
C2,81.825,-86.02,Top,-90.0
C3,77.745,-96.975,Top,180.0
C4,71.25,-96.975,Top,180.0
C5,64.845,-83.275,Top,180.0
C6,68.5,-82.525,Top,90.0
C7,66.475,-92.225,Top,180.0
C8,65.75,-95.88,Top,180.0
C9,65.739,-97.15,Top,180.0
C10,103.9,-76.9,Top,90.0
C11,66.525,-86.405,Top,90.0
C12,66.525,-88.77,Top,-90.0
C13,57.525,-60.3,Top,90.0
C14,53.575,-64.95,Top,-90.0
C15,78.395,-60.425,Top,0.0
C16,73.5,-66.75,Top,-90.0
C17,74.25,-62.1,Top,90.0
D1,64.1875,-55.0,Top,180.0
D2,84.275,-55.2,Top,0.0
D3,87.4875,-55.194,Top,0.0
D4,43.25,-96.25,Top,-90.0
D5,101.75,-96.15,Top,-90.0
D6,43.25,-85.95,Top,90.0
D7,101.75,-85.95,Top,90.0
D8,86.45,-89.775,Top,180.0
FB1,68.15,-96.55,Top,-90.0
J1,76.555,-76.675,Top,90.0
J2,47.498,-74.676,Top,180.0
J3,97.536,-67.056,Top,180.0
J4,47.5,-95.435,Top,0.0
J5,97.525,-95.36,Top,0.0
J6,47.5,-86.75,Top,180.0
J7,97.525,-86.75,Top,180.0
J8,88.0,-79.21,Top,180.0
J9,77.555,-56.2,Top,180.0
Q1,59.0,-68.3125,Top,-90.0
Q2,59.0,-72.4375,Top,90.0
Q3,92.5625,-95.36,Top,0.0
Q4,52.4375,-95.435,Top,180.0
Q5,92.5625,-86.85,Top,0.0
Q6,52.4375,-86.85,Top,180.0
R1,70.385,-78.975,Top,0.0
R2,64.975,-57.015,Top,-90.0
R3,50.3,-61.3,Top,-90.0
R4,44.625,-64.0,Top,-90.0
R5,79.325,-66.9,Top,-90.0
R6,71.575,-65.79,Top,90.0
R7,68.49,-63.75,Top,0.0
R8,83.475,-58.69,Top,-90.0
R9,86.7,-58.69,Top,90.0
R10,100.7,-57.4,Top,-90.0
R11,83.7375,-89.775,Top,180.0
SW1,97.25,-80.25,Top,90.0
SW2,59.944,-56.5175,Top,180.0
U1,74.246,-89.53,Top,0.0
U2,54.75,-59.825,Top,180.0
U3,84.025,-66.915,Top,0.0
U4,67.8875,-66.3,Top,0.0
Y1,64.2,-87.575,Top,-90.0
